year,state_name,parameter_name,arithmetic_mean_average
1985,Puerto Rico,PM10 Total 0-10um STP,46.9887565
1985,Maryland,PM10 Total 0-10um STP,46.486286333333332
1980,Illinois,Nitrogen dioxide (NO2),46.35924
1983,Colorado,Nitrogen dioxide (NO2),46.3410575
1985,New Mexico,PM10 Total 0-10um STP,45.969072
1986,Colorado,Nitrogen dioxide (NO2),45.893907333333331
1980,Delaware,Nitrogen dioxide (NO2),45.860096250000005
1989,Arizona,PM10 Total 0-10um STP,45.843224423076926
1986,Alabama,PM10 Total 0-10um STP,45.213073636363639
1989,Nevada,Nitrogen dioxide (NO2),45.0436745
1987,Washington,PM10 Total 0-10um STP,44.997670925925931
1980,Rhode Island,Nitrogen dioxide (NO2),44.9545335
1987,Montana,PM10 Total 0-10um STP,44.915466756097558
1995,Wyoming,Sulfur dioxide,44.816988142857134
1982,Washington,Nitrogen dioxide (NO2),44.73340125
1985,Utah,Nitrogen dioxide (NO2),44.436078833333326
1987,Nevada,Nitrogen dioxide (NO2),44.3957015
1989,Oregon,PM10 Total 0-10um STP,44.285199885714285
1981,California,Nitrogen dioxide (NO2),44.239454606741553
1986,Oregon,PM10 Total 0-10um STP,44.217629205882346
1986,Georgia,PM10 Total 0-10um STP,44.17637725
2022,Texas,PM10 Total 0-10um STP,44.0251375
1985,Montana,PM10 Total 0-10um STP,43.879858105263153
1985,West Virginia,PM10 Total 0-10um STP,43.726747999999994
1986,Idaho,PM10 Total 0-10um STP,43.697196999999996
1986,Nevada,PM10 Total 0-10um STP,43.66802075
1987,Maryland,PM10 Total 0-10um STP,43.63174875
1986,Tennessee,PM10 Total 0-10um STP,43.608603166666668
1985,Alabama,PM10 Total 0-10um STP,43.588197857142859
1998,California,PM2.5 - Local Conditions,43.571428428571423
1980,California,Nitrogen dioxide (NO2),43.549891795180734
1985,Colorado,PM10 Total 0-10um STP,43.301265750000006
1989,District Of Columbia,PM10 Total 0-10um STP,43.28194
1986,Colorado,PM10 Total 0-10um STP,43.115440935483882
1984,Colorado,Nitrogen dioxide (NO2),43.011051249999994
1985,Connecticut,PM10 Total 0-10um STP,42.942403625000004
1985,California,PM10 Total 0-10um STP,42.843827166666671
1981,District Of Columbia,Nitrogen dioxide (NO2),42.745348
1986,Washington,PM10 Total 0-10um STP,42.72572030769232
1985,New Jersey,PM10 Total 0-10um STP,42.561018545454544
1990,Nevada,PM10 Total 0-10um STP,42.327895500000011
1986,District Of Columbia,Nitrogen dioxide (NO2),42.2636845
1987,Idaho,PM10 Total 0-10um STP,42.229096000000006
1988,Utah,Nitrogen dioxide (NO2),42.203348166666665
1987,New Jersey,Nitrogen dioxide (NO2),42.126901
1984,Illinois,PM10 Total 0-10um STP,42.11795742857143
1985,Illinois,PM10 Total 0-10um STP,42.1014835
1985,Indiana,PM10 Total 0-10um STP,42.085589458333338
1988,Nevada,PM10 Total 0-10um STP,41.934954799999993
1982,New Jersey,Nitrogen dioxide (NO2),41.927386500000011
1989,Kansas,Nitrogen dioxide (NO2),41.876647
1989,Utah,PM10 Total 0-10um STP,41.854364571428569
1988,New Jersey,Nitrogen dioxide (NO2),41.79505225
1985,District Of Columbia,Nitrogen dioxide (NO2),41.7805855
1989,California,PM10 Total 0-10um STP,41.758026254901964
1986,Maryland,PM10 Total 0-10um STP,41.7426634
1988,Oregon,PM10 Total 0-10um STP,41.711004133333326
1980,New York,Nitrogen dioxide (NO2),41.654952166666661
1981,Washington,Nitrogen dioxide (NO2),41.595216666666666
1986,West Virginia,PM10 Total 0-10um STP,41.584015
1981,Colorado,Nitrogen dioxide (NO2),41.570936125
1987,Colorado,Nitrogen dioxide (NO2),41.512503
1986,Kansas,Nitrogen dioxide (NO2),41.303970500000005
1988,Georgia,PM10 Total 0-10um STP,41.251914666666671
1986,Connecticut,PM10 Total 0-10um STP,41.204621800000005
1986,Kentucky,PM10 Total 0-10um STP,41.182189384615377
1981,Massachusetts,Nitrogen dioxide (NO2),41.181761499999993
1986,Kansas,PM10 Total 0-10um STP,41.179228833333333
1987,Georgia,PM10 Total 0-10um STP,41.1351425
1987,Arizona,PM10 Total 0-10um STP,41.084867466666665
2008,Arizona,PM10 Total 0-10um STP,41.039525368055543
1983,New Jersey,Nitrogen dioxide (NO2),40.995021857142859
1987,Alabama,PM10 Total 0-10um STP,40.96777255
1980,Massachusetts,Nitrogen dioxide (NO2),40.911458071428569
1980,Colorado,Nitrogen dioxide (NO2),40.861628999999994
1995,Kansas,Nitrogen dioxide (NO2),40.8216385
1984,Utah,Nitrogen dioxide (NO2),40.788006666666668
1985,Ohio,PM10 Total 0-10um STP,40.706599937499988
1985,New Jersey,Nitrogen dioxide (NO2),40.6735118125
1988,Arizona,PM10 Total 0-10um STP,40.608090678571429
1981,Illinois,Nitrogen dioxide (NO2),40.399700588235305
1987,Connecticut,PM10 Total 0-10um STP,40.345956545454548
1988,Utah,PM10 Total 0-10um STP,40.264376357142858
1984,New Jersey,Nitrogen dioxide (NO2),40.242011312500004
1985,Colorado,Nitrogen dioxide (NO2),40.224197624999995
1989,Delaware,Nitrogen dioxide (NO2),40.16618125
2013,Virgin Islands,PM10 Total 0-10um STP,40.076190499999996
1985,Nebraska,PM10 Total 0-10um STP,40.001116125
1982,District Of Columbia,Nitrogen dioxide (NO2),39.968689499999996
1987,Kansas,PM10 Total 0-10um STP,39.902451666666664
1988,California,PM10 Total 0-10um STP,39.84604077777778
1985,Nevada,Nitrogen dioxide (NO2),39.780268625000005
1984,South Carolina,PM10 Total 0-10um STP,39.773970000000006
1988,Maryland,PM10 Total 0-10um STP,39.730870166666662
1982,Arizona,Sulfur dioxide,39.706407112068995
1990,Oregon,PM10 Total 0-10um STP,39.698008625000014
1986,Utah,PM10 Total 0-10um STP,39.671523222222227
1989,Maryland,PM10 Total 0-10um STP,39.6523175
1985,Pennsylvania,PM10 Total 0-10um STP,39.621198650000011
1987,Tennessee,PM10 Total 0-10um STP,39.605444233333337
1986,Ohio,PM10 Total 0-10um STP,39.587058
1989,Georgia,PM10 Total 0-10um STP,39.560913666666664
1988,Idaho,PM10 Total 0-10um STP,39.442309421052627
2012,Arizona,PM10 Total 0-10um STP,39.433473401746724
1989,Illinois,PM10 Total 0-10um STP,39.401682583333326
1990,New York,Nitrogen dioxide (NO2),39.387755714285717
1988,Delaware,Nitrogen dioxide (NO2),39.37663025
1987,Illinois,PM10 Total 0-10um STP,39.352407190476193
1985,Virginia,PM10 Total 0-10um STP,39.350869999999993
1989,Nebraska,PM10 Total 0-10um STP,39.2987443125
1999,Nebraska,PM10 Total 0-10um STP,39.251690909090911
1987,District Of Columbia,PM10 Total 0-10um STP,39.1766385
1986,Utah,Nitrogen dioxide (NO2),39.172643666666666
1987,New York,Nitrogen dioxide (NO2),39.122301
1988,New Mexico,PM10 Total 0-10um STP,39.118241687499996
1990,California,PM10 Total 0-10um STP,39.084777165644205
1997,Arizona,Nitrogen dioxide (NO2),39.0669206
1995,Country Of Mexico,Nitrogen dioxide (NO2),39.0121065
1991,Idaho,PM10 Total 0-10um STP,38.995188472222218
1987,Delaware,Nitrogen dioxide (NO2),38.921378250000004
1986,Illinois,PM10 Total 0-10um STP,38.917863714285716
1987,California,PM10 Total 0-10um STP,38.854798189473684
1989,Utah,Nitrogen dioxide (NO2),38.846996375
1988,Nebraska,PM10 Total 0-10um STP,38.80627464285714
1990,District Of Columbia,Nitrogen dioxide (NO2),38.63280075
1991,New York,Nitrogen dioxide (NO2),38.627899071428573
1989,New Jersey,Nitrogen dioxide (NO2),38.570879625
1987,Ohio,PM10 Total 0-10um STP,38.528291368421051
1986,New York,Nitrogen dioxide (NO2),38.501700285714286
1987,Wyoming,PM10 Total 0-10um STP,38.501129851851857
2017,Arizona,PM10 Total 0-10um STP,38.429644075675654
1989,West Virginia,PM10 Total 0-10um STP,38.40101775
1987,Puerto Rico,PM10 Total 0-10um STP,38.391084111111113
1988,West Virginia,PM10 Total 0-10um STP,38.3701195
1981,Delaware,Nitrogen dioxide (NO2),38.3677135
1980,Pennsylvania,Nitrogen dioxide (NO2),38.334346018518517
1988,Illinois,PM10 Total 0-10um STP,38.315396200000009
1991,Maryland,Nitrogen dioxide (NO2),38.2450555
1990,Delaware,Nitrogen dioxide (NO2),38.21518875
1980,New Jersey,Nitrogen dioxide (NO2),38.208583958333335
2001,Nebraska,PM10 Total 0-10um STP,38.168116545454545
1988,Washington,PM10 Total 0-10um STP,38.134744634920629
1984,District Of Columbia,Nitrogen dioxide (NO2),38.094167
1989,New Mexico,PM10 Total 0-10um STP,38.079197424242423
1991,California,PM10 Total 0-10um STP,38.067591614906846
1987,Utah,PM10 Total 0-10um STP,38.060734375
1982,Colorado,Nitrogen dioxide (NO2),38.015337624999994
1987,West Virginia,PM10 Total 0-10um STP,38.003303
1985,New York,Nitrogen dioxide (NO2),37.979343125
1990,Nevada,Nitrogen dioxide (NO2),37.955278166666666
1982,Utah,Nitrogen dioxide (NO2),37.9428036
1989,Guam,PM10 Total 0-10um STP,37.92734575
1987,Nevada,PM10 Total 0-10um STP,37.913866222222225
1984,Minnesota,PM10 Total 0-10um STP,37.885365750000005
2000,Nebraska,PM10 Total 0-10um STP,37.857204555555548
1987,Colorado,PM10 Total 0-10um STP,37.836076399999989
2003,New Mexico,PM10 Total 0-10um STP,37.8269358125
1987,Utah,Nitrogen dioxide (NO2),37.721492
1986,New Jersey,Nitrogen dioxide (NO2),37.70784331250001
1987,Kentucky,PM10 Total 0-10um STP,37.665228136363638
2011,Arizona,PM10 Total 0-10um STP,37.651355678048752
1986,New Jersey,PM10 Total 0-10um STP,37.642536357142859
1985,California,Nitrogen dioxide (NO2),37.635206333333336
2003,Texas,PM10 Total 0-10um STP,37.623335780487821
1991,Utah,PM10 Total 0-10um STP,37.614831941176469
1987,Nebraska,PM10 Total 0-10um STP,37.611745714285711
1988,Delaware,PM10 Total 0-10um STP,37.567138799999995
1986,Maryland,Nitrogen dioxide (NO2),37.542011666666667
1990,New Jersey,Nitrogen dioxide (NO2),37.52641687500001
1990,West Virginia,PM10 Total 0-10um STP,37.4942055
1987,Maryland,Nitrogen dioxide (NO2),37.346391666666669
1990,Georgia,PM10 Total 0-10um STP,37.3358182
1993,Utah,PM10 Total 0-10um STP,37.310737954545459
1984,California,Nitrogen dioxide (NO2),37.276388305555564
1992,New Jersey,Nitrogen dioxide (NO2),37.270769875
1983,Delaware,Nitrogen dioxide (NO2),37.2335055
1989,Nevada,PM10 Total 0-10um STP,37.20411399999999
2009,Arizona,PM10 Total 0-10um STP,37.190262153465333
1986,Indiana,PM10 Total 0-10um STP,37.164315580645159
1982,New York,Nitrogen dioxide (NO2),37.155077916666677
1993,Idaho,PM10 Total 0-10um STP,37.112534083333315
1985,North Carolina,PM10 Total 0-10um STP,37.111111
2005,Arizona,PM10 Total 0-10um STP,37.0804707790698
1993,Utah,Nitrogen dioxide (NO2),37.08002525
1986,District Of Columbia,PM10 Total 0-10um STP,37.076923
1984,New Hampshire,PM10 Total 0-10um STP,37.061404
1982,California,Nitrogen dioxide (NO2),37.056069704819265
1985,Massachusetts,PM10 Total 0-10um STP,36.935064000000004
1996,Kansas,Nitrogen dioxide (NO2),36.9273035
2012,Country Of Mexico,Nitrogen dioxide (NO2),36.92279275
1985,Delaware,Nitrogen dioxide (NO2),36.910648
1985,Tennessee,PM10 Total 0-10um STP,36.9011905
1996,New York,Nitrogen dioxide (NO2),36.854677777777773
1989,Ohio,PM10 Total 0-10um STP,36.779158903225813
1983,California,Nitrogen dioxide (NO2),36.769552147887318
1986,Missouri,PM10 Total 0-10um STP,36.751407300000004
1986,Nevada,Nitrogen dioxide (NO2),36.73605175
1983,Connecticut,Nitrogen dioxide (NO2),36.730326833333336
1984,Delaware,Nitrogen dioxide (NO2),36.717774500000004
1988,Puerto Rico,PM10 Total 0-10um STP,36.709251499999993
1982,Illinois,Nitrogen dioxide (NO2),36.697832432432435
1991,Delaware,Nitrogen dioxide (NO2),36.68077425
1991,Guam,PM10 Total 0-10um STP,36.679487333333334
1994,New York,Nitrogen dioxide (NO2),36.677091000000004
2014,Arizona,PM10 Total 0-10um STP,36.656577159183669
1989,Idaho,PM10 Total 0-10um STP,36.653761433333337
1997,Arizona,PM10 Total 0-10um STP,36.583762428571426
1981,Rhode Island,Nitrogen dioxide (NO2),36.5176475
1984,Indiana,PM10 Total 0-10um STP,36.5023378
1984,Connecticut,Nitrogen dioxide (NO2),36.470182166666667
1994,District Of Columbia,Nitrogen dioxide (NO2),36.413471875000006
1991,New Jersey,Nitrogen dioxide (NO2),36.401954937499994
1988,Alabama,PM10 Total 0-10um STP,36.3778295
1983,New York,Nitrogen dioxide (NO2),36.35866178571429
1981,New York,Nitrogen dioxide (NO2),36.341941750000004
1986,Pennsylvania,PM10 Total 0-10um STP,36.289199869565216
1986,New Mexico,PM10 Total 0-10um STP,36.286499
2006,Louisiana,PM10 Total 0-10um STP,36.283987
1985,Wyoming,PM10 Total 0-10um STP,36.280680833333335
1990,Arizona,PM10 Total 0-10um STP,36.253571294117656
2018,Arizona,PM10 Total 0-10um STP,36.231544944206014
1985,Missouri,PM10 Total 0-10um STP,36.228633800000004
2006,Texas,PM10 Total 0-10um STP,36.181956207547145
1991,Oregon,PM10 Total 0-10um STP,36.143666918918925
1993,Maryland,Nitrogen dioxide (NO2),36.140725
1981,New Jersey,Nitrogen dioxide (NO2),36.137134375
1986,Delaware,Nitrogen dioxide (NO2),36.134065
1994,Maryland,Nitrogen dioxide (NO2),36.077130999999994
2006,Virgin Islands,PM10 Total 0-10um STP,36.057632999999996
1981,Pennsylvania,Nitrogen dioxide (NO2),36.05405570370371
1987,Indiana,PM10 Total 0-10um STP,36.030823346938782
1986,Iowa,PM10 Total 0-10um STP,36.0010056923077
2002,Nebraska,PM10 Total 0-10um STP,35.980595111111114
1991,District Of Columbia,Nitrogen dioxide (NO2),35.95004925
1999,New York,Nitrogen dioxide (NO2),35.949356499999993
1990,Illinois,PM10 Total 0-10um STP,35.9196741627907
1985,Texas,PM10 Total 0-10um STP,35.9165065882353
1988,Massachusetts,Nitrogen dioxide (NO2),35.907541538461544
1987,New Jersey,PM10 Total 0-10um STP,35.907461333333323
1993,New Jersey,Nitrogen dioxide (NO2),35.861172374999995
1993,District Of Columbia,Nitrogen dioxide (NO2),35.835252333333337
1986,South Carolina,PM10 Total 0-10um STP,35.809237375000009
1986,Mississippi,PM10 Total 0-10um STP,35.793103
1994,Utah,Nitrogen dioxide (NO2),35.766755375
1987,New Mexico,PM10 Total 0-10um STP,35.746863642857143
2005,District Of Columbia,PM10 Total 0-10um STP,35.733333
1998,Arizona,Nitrogen dioxide (NO2),35.717263500000008
1987,Massachusetts,Nitrogen dioxide (NO2),35.706727428571426
1989,Delaware,PM10 Total 0-10um STP,35.69556875
1994,New Jersey,Nitrogen dioxide (NO2),35.6932925
1989,Illinois,Nitrogen dioxide (NO2),35.674066964285721
2009,Virgin Islands,PM10 Total 0-10um STP,35.6504213
1986,Puerto Rico,PM10 Total 0-10um STP,35.6483335
1989,Rhode Island,PM10 Total 0-10um STP,35.6229505
1985,Connecticut,Nitrogen dioxide (NO2),35.620117500000006
1985,Rhode Island,Nitrogen dioxide (NO2),35.595316000000004
1987,District Of Columbia,Nitrogen dioxide (NO2),35.593934
1992,Utah,PM10 Total 0-10um STP,35.590791857142854
1988,New York,Nitrogen dioxide (NO2),35.579476875
1992,Maryland,Nitrogen dioxide (NO2),35.54279225
1996,New Mexico,PM10 Total 0-10um STP,35.540749780821905
1991,Nevada,PM10 Total 0-10um STP,35.448884882352935
1985,Florida,PM10 Total 0-10um STP,35.412006500000004
1995,New York,Nitrogen dioxide (NO2),35.3905023125
1985,Delaware,PM10 Total 0-10um STP,35.385816500000004
1988,Maryland,Nitrogen dioxide (NO2),35.379377833333336
1986,Delaware,PM10 Total 0-10um STP,35.372527000000005
1989,New York,Nitrogen dioxide (NO2),35.367291916666666
1999,Arizona,PM10 Total 0-10um STP,35.364390491525427
2016,Arizona,PM10 Total 0-10um STP,35.3181085319149
1984,New Jersey,PM10 Total 0-10um STP,35.3114365
2020,Arizona,PM10 Total 0-10um STP,35.272091192307663
1980,Oregon,Nitrogen dioxide (NO2),35.258955249999993
1988,Pennsylvania,PM10 Total 0-10um STP,35.253565999999992
1983,Ohio,Nitrogen dioxide (NO2),35.230528
1989,Kentucky,PM10 Total 0-10um STP,35.186587
1987,Pennsylvania,PM10 Total 0-10um STP,35.1605574102564
1985,Maryland,Nitrogen dioxide (NO2),35.158953375
1988,Illinois,Nitrogen dioxide (NO2),35.076688464285709
1983,Utah,Nitrogen dioxide (NO2),35.064623999999995
1994,Illinois,Nitrogen dioxide (NO2),35.06023795
1983,District Of Columbia,Nitrogen dioxide (NO2),35.0486705
1982,Massachusetts,Nitrogen dioxide (NO2),35.031293071428564
1986,Nebraska,PM10 Total 0-10um STP,34.991448
1999,Utah,Nitrogen dioxide (NO2),34.9899118
1986,Connecticut,Nitrogen dioxide (NO2),34.9827085
1996,Utah,Nitrogen dioxide (NO2),34.981639625
1982,Rhode Island,Nitrogen dioxide (NO2),34.9443005
2001,New York,Nitrogen dioxide (NO2),34.943781954545457
1988,New Hampshire,Nitrogen dioxide (NO2),34.935867
1998,Arizona,PM10 Total 0-10um STP,34.93397459183673
1988,Georgia,Nitrogen dioxide (NO2),34.92432325
2000,New York,Nitrogen dioxide (NO2),34.906270045454548
1992,District Of Columbia,Nitrogen dioxide (NO2),34.8688595
1993,Nevada,Nitrogen dioxide (NO2),34.862438499999996
1985,Kansas,PM10 Total 0-10um STP,34.8274586
1991,West Virginia,PM10 Total 0-10um STP,34.783039
1984,Ohio,Nitrogen dioxide (NO2),34.764660299999996
1991,Washington,PM10 Total 0-10um STP,34.750847979166672
1985,Illinois,Nitrogen dioxide (NO2),34.734350633333342
1987,Delaware,PM10 Total 0-10um STP,34.7288135
1997,New York,Nitrogen dioxide (NO2),34.723395750000009
1985,Washington,Nitrogen dioxide (NO2),34.70943575
1980,Missouri,Nitrogen dioxide (NO2),34.680394541666658
1987,Virginia,Nitrogen dioxide (NO2),34.646846062499996
1984,Illinois,Nitrogen dioxide (NO2),34.623646250000007
1983,South Carolina,PM10 Total 0-10um STP,34.5453285
2000,Utah,Nitrogen dioxide (NO2),34.530420899999996
1989,Maryland,Nitrogen dioxide (NO2),34.518560333333333
1988,Connecticut,Nitrogen dioxide (NO2),34.50778583333333
2013,Arizona,PM10 Total 0-10um STP,34.492537114391084
1999,Arizona,Nitrogen dioxide (NO2),34.47280625
1988,Texas,PM10 Total 0-10um STP,34.454244275
1986,Georgia,Nitrogen dioxide (NO2),34.453590750000004
1983,Illinois,Nitrogen dioxide (NO2),34.452100194444441
1982,Pennsylvania,Nitrogen dioxide (NO2),34.450358092592587
1981,Utah,Nitrogen dioxide (NO2),34.435913937500004
1986,Louisiana,PM10 Total 0-10um STP,34.434400142857143
1996,New Jersey,Nitrogen dioxide (NO2),34.420474000000013
2014,California,PM10 Total 0-10um STP,34.363502666666648
2001,Utah,Nitrogen dioxide (NO2),34.343795000000007
1987,Illinois,Nitrogen dioxide (NO2),34.3430254
1987,Wisconsin,PM10 Total 0-10um STP,34.29108333333334
1991,Rhode Island,PM10 Total 0-10um STP,34.290812
1990,Maryland,Nitrogen dioxide (NO2),34.264697166666672
1986,Rhode Island,Nitrogen dioxide (NO2),34.2215515
2002,Arizona,PM10 Total 0-10um STP,34.219219758064526
2003,Nebraska,PM10 Total 0-10um STP,34.215988333333335
1989,Washington,PM10 Total 0-10um STP,34.206026861111127
1988,Ohio,PM10 Total 0-10um STP,34.197375133333338
1987,Rhode Island,Nitrogen dioxide (NO2),34.194689499999996
1998,Arkansas,PM10 Total 0-10um STP,34.180328
1998,New York,Nitrogen dioxide (NO2),34.17610245
1991,Nevada,Nitrogen dioxide (NO2),34.108027166666666
1994,Arizona,Nitrogen dioxide (NO2),34.083771875000004
1992,Illinois,PM10 Total 0-10um STP,34.078326552631573
1984,Connecticut,PM10 Total 0-10um STP,34.071429
1986,North Carolina,PM10 Total 0-10um STP,34.067413
2000,Arizona,PM10 Total 0-10um STP,34.063773763636355
1990,Puerto Rico,PM10 Total 0-10um STP,34.054969666666672
1992,Idaho,PM10 Total 0-10um STP,34.050752392857149
1984,Rhode Island,Nitrogen dioxide (NO2),34.006978000000004
1981,Idaho,Sulfur dioxide,33.958463340909084
1987,Rhode Island,PM10 Total 0-10um STP,33.94840275
1980,Connecticut,Nitrogen dioxide (NO2),33.946517
1988,Iowa,PM10 Total 0-10um STP,33.933012125000005
1986,Massachusetts,Nitrogen dioxide (NO2),33.91572577777778
1990,Nebraska,PM10 Total 0-10um STP,33.907707133333332
1998,Texas,PM10 Total 0-10um STP,33.888309220338982
1985,Massachusetts,Nitrogen dioxide (NO2),33.875887785714283
1983,Pennsylvania,Nitrogen dioxide (NO2),33.864844687499996
1982,Connecticut,Nitrogen dioxide (NO2),33.859994
1988,Tennessee,PM10 Total 0-10um STP,33.836830499999991
1998,New Jersey,Nitrogen dioxide (NO2),33.825176055555559
2001,Missouri,PM10 Total 0-10um STP,33.823397000000007
1986,Washington,Nitrogen dioxide (NO2),33.78935575
1984,New York,Nitrogen dioxide (NO2),33.781023142857144
1989,Texas,PM10 Total 0-10um STP,33.779365869565204
1983,Maryland,Nitrogen dioxide (NO2),33.767268500000007
1985,Kentucky,PM10 Total 0-10um STP,33.7019048
1992,Nevada,Nitrogen dioxide (NO2),33.677483
1988,Wyoming,PM10 Total 0-10um STP,33.6735342
1984,Pennsylvania,Nitrogen dioxide (NO2),33.672275903846163
1995,New Jersey,Nitrogen dioxide (NO2),33.662770699999989
1987,Iowa,PM10 Total 0-10um STP,33.662442874999989
1986,Illinois,Nitrogen dioxide (NO2),33.652216583333328
1984,Montana,PM10 Total 0-10um STP,33.6238145
1997,Puerto Rico,Nitrogen dioxide (NO2),33.61776
2000,Arizona,Nitrogen dioxide (NO2),33.558858550000004
1991,Nebraska,PM10 Total 0-10um STP,33.558503437499994
2021,New Mexico,PM10 Total 0-10um STP,33.53853284
2006,New Mexico,PM10 Total 0-10um STP,33.531863012500004
1989,Massachusetts,Nitrogen dioxide (NO2),33.514019090909095
1990,South Dakota,PM10 Total 0-10um STP,33.506957142857146
1994,Idaho,PM10 Total 0-10um STP,33.506746423076919
1983,Maine,PM10 Total 0-10um STP,33.496399
1998,Utah,Nitrogen dioxide (NO2),33.481253499999994
1986,Michigan,PM10 Total 0-10um STP,33.448633846153847
1991,Rhode Island,Nitrogen dioxide (NO2),33.42866
1985,New Hampshire,PM10 Total 0-10um STP,33.41374125
1983,Rhode Island,Nitrogen dioxide (NO2),33.404599000000005
1987,Georgia,Nitrogen dioxide (NO2),33.394876000000004
1989,Ohio,Nitrogen dioxide (NO2),33.393123916666667
1991,Illinois,PM10 Total 0-10um STP,33.377675282051285
1985,Maine,PM10 Total 0-10um STP,33.367227611111112
1989,Pennsylvania,PM10 Total 0-10um STP,33.359232755102035
1986,Virginia,Nitrogen dioxide (NO2),33.356137333333329
1990,District Of Columbia,PM10 Total 0-10um STP,33.353325500000004
1985,Michigan,PM10 Total 0-10um STP,33.344393499999995
1985,South Carolina,PM10 Total 0-10um STP,33.328079571428574
1995,Arizona,Nitrogen dioxide (NO2),33.26603525
1997,Utah,Nitrogen dioxide (NO2),33.265917
1984,Virginia,Nitrogen dioxide (NO2),33.259561444444451
1990,Rhode Island,PM10 Total 0-10um STP,33.243812500000004
1989,Connecticut,Nitrogen dioxide (NO2),33.230442833333328
1987,South Carolina,PM10 Total 0-10um STP,33.214038166666661
1993,Illinois,Nitrogen dioxide (NO2),33.213082388888893
1994,Pennsylvania,PM10 Total 0-10um STP,33.202489319444439
1997,New Jersey,Nitrogen dioxide (NO2),33.196372500000017
1994,Illinois,PM10 Total 0-10um STP,33.191423760869569
1988,Virginia,Nitrogen dioxide (NO2),33.157684444444442
1999,New Jersey,Nitrogen dioxide (NO2),33.132962687500005
1987,Connecticut,Nitrogen dioxide (NO2),33.114279249999996
2021,Arizona,PM10 Total 0-10um STP,33.093637137614685
2002,Utah,Nitrogen dioxide (NO2),33.06742475
1995,Iowa,PM10 Total 0-10um STP,33.042233888888887
1980,Arizona,Sulfur dioxide,33.01585370588235
